,name,description,category
340,Tory MPs turn on Boris Johnson over plot to 'destroy the BBC',Boris Johnson is facing a mounting backlash from Tory MPs after reports the BBC’s licence fee model could be scrapped were described as “cultural vandalism”. Hitting out at suggestions No 10 could compel the broadcaster to downsize and adopt a ...,Politics
676,"Daytona 500 purse, payout breakdown: How much prize money will the winner make in 2020?","The world of NASCAR money is a secretive one. Since 2016, race purses and prize money information have been private, leaving fans combining guesswork, outdated numbers and rare peeks behind the curtain to glean information about the economic picture of the sport. But just before the 2020 Daytona 500, the association released the race purse ...",UK
351,Cummings is the Marxist of Downing Street,"At Westminster, the personal and the political are always entwined. Sajid Javid resigned as chancellor last week because he refused to fire his special advisers and turn himself into a minion of No 10. There was no policy disagreement with Boris Johnson, who begged him to stay — but as one ally says, “no minister can agree to being ...",Politics
341,NSA whistleblower who leaked Russian hacking report petitions for clemency,Reality Winner was sentenced to five years in 2018 after leaking classified report about Russia’s interference in the 2016 election,Politics
412,Downing Street refuses to condemn adviser’s eugenics comments,Number 10 said Boris Johnson’s views were ‘well publicised’ but refused to be drawn on Andrew Sabisky’s remarks. Downing Street has refused to condemn comments from an adviser who once suggested enforcing the uptake of contraception to stop unplanned pregnancies “creating a permanent underclass”. Boris Johnson is under mounting ...,Politics
224,Love Island has been cancelled tonight following Caroline Flack's death,"ITV have confirmed tonight's episode of Love Island will not air following the death of former presenter Caroline Flack on 15 February 2020. Caroline was found dead in her London flat on Saturday and had recently stepped down from presenting duties on the popular ITV2 show, which is currently fronted by Laura Whitmore. In a statement an ITV ...",Entertainment
508,Alison’s Agile platform aims to help people find flexible work,I’ve always wanted to start my own business and completed an MBA at Robert Gordon University in 2016. It reignited a desire for a career change after 25-plus years. I first had the idea for Agile when I tried to look for alternative employment and needed a 30-hour week. I kept hitting a brick wall whenever I said I needed some flexibility ...,ScienceAndTechnology
372,"UK and EU need to rebuild trust to reach agreement on equivalence, report warns","EU chief negotiator Michel Barnier has said the UK should not 'kid itself' about getting a special deal for the City (via Getty Images) The UK and EU must rebuild trust “at a political level” before they can reach an agreement on the City’s future regulatory relationship with the bloc, according to a new report. Britain is seeking ...",Politics
532,Chelsea legend John Terry criticises Antonio Rudiger’s positioning for Manchester United’s opening goal,"Although Andreas Christensen was out-jumped, Terry lay the blame on Rudiger (Picture: Getty) John Terry has criticised Antonio Rudiger’s positioning for Manchester United’s opening goal against Chelsea on Monday night, while he dug out Andreas Christensen for not staying on the pitch. The Blues conceded shortly before half-time at Stamford ...",Sports
227,Baby photos: Should Bounty be allowed to snap newborns?,"Mothers-to-be can be served up an overwhelming amount of information and advice prior to giving birth. What many are not told about, however, is they could get a visit from a professional photographer while on the maternity ward recovering from delivery. The service is offered at more than 150 UK hospitals by pregnancy firm Bounty, which, as ...",Health
365,"Fine Gael preparing to go into opposition, says Varadkar","Leo Varadkar has said his party is preparing to go into opposition in the new Dail. After a six-hour parliamentary party meeting on Monday, the Fine Gael leader said he “relishes the challenge” to lead in opposition. It was the first time the parliamentary party had met since Fine Gael lost 12 TDs in the general election. Mr Varadkar said ...",Politics
400,Off-payroll working (IR35) changes coming in April,"From April 2020, contractors who work through personal service companies (PSC) will be affected by changes to the off-payroll working rules. Experts from HMRC outline what the new IR35 rules mean and how both companies and independent consultants can prepare for the new way of working. Off-payroll working rules, commonly known as IR35, were ...",Politics
447,Catalyst searches for next generation of innovators in Invent competition,"ENTRIES have opened for Catalyst's annual Invent initiative, which seeks to unearth the next generation of innovators and entrepreneurs from across the north. Sponsored by Bank of Ireland UK and now in its 11th year, more than 1,200 applicants have already gone through the Invent process since its inception in 2009. It offers applicants from a ...",ScienceAndTechnology
136,Alberici expands through gaming technology,"ICE London 2020 was an ideal opportunity for Italy-based cash equipment specialist Alberici to take stock of the fact that in the past year its technologies have gained partners all over the world. ""Twelve months of work, 12 months of results is how we could sum up the past year,"" said the company, which specialises in designing, manufacturing ...",Business
